Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
86,Craig Hentrich,TEN,33,,16,0,,2,4,50,10,0,0,0,0,1,6,2.5,2.5,5,0.6,56.2,0,0,0,2.5,2.5,,
87,Antwaan Randle El,PIT,25,wr,16,7,,1,1,100,10,1,100,0,0,1,10,10,30,10,0.6,147.9,0,0,0,10,30,,
88,Tony Fisher,GNB,25,,16,0,,1,1,100,8,1,100,0,0,1,8,8,28,8,0.5,139.6,0,0,0,8,28,,
89,Adam Vinatieri*+,NWE,32,,16,0,,1,1,100,4,1,100,0,0,1,4,4,24,4,0.3,122.9,0,0,0,4,24,,
90,Rodney Peete,CAR,38,,1,0,,1,1,100,3,0,0,0,0,0,3,3,3,3,3,79.2,0,0,0,3,3,,
91,Mike Bartrum,PHI,34,,16,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
92,Isaac Bruce,STL,32,WR,16,16,,0,2,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
93,Patrick Crayton,DAL,25,,8,0,,0,1,0,0,0,0,1,100,0,0,0,-45,,0,0,0,0,0,0,-45,,
94,Ronald Curry,OAK,25,,12,3,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
95,Adimchinobe Echemandu,CLE,24,,4,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
96,Paul Edinger,CHI,26,,16,0,,0,1,0,0,0,0,1,100,0,0,0,-45,,0,0,0,0,0,0,-45,,
97,Jeff Feagles,NYG,38,,16,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
98,Gus Frerotte,MIN,33,,16,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
99,Jabar Gaffney,HOU,24,WR,16,12,,0,3,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
100,Rod Gardner,WAS,27,WR,16,14,,0,3,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
101,Terry Glenn,DAL,30,wr,6,6,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
102,Randy Hymes,BAL,25,WR,14,7,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
103,Frisman Jackson,CLE,25,,10,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
104,Keyshawn Johnson,DAL,32,WR,16,16,,0,2,0,0,0,0,1,50,0,0,0,-22.5,,0,0,0,0,0,0,-22.5,,
105,LaMont Jordan,NYJ,26,,16,0,,0,1,0,0,0,0,1,100,0,0,0,-45,,0,0,0,0,0,0,-45,,
106,Mat McBriar,DAL,25,,16,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
107,Keenan McCardell,SDG,34,wr,7,6,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
108,Mewelde Moore,MIN,22,,10,3,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
109,Ricky Proehl,CAR,36,,16,3,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
110,Jeff Saturday,IND,29,C,14,14,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
111,Mike Scifres,SDG,24,,16,0,,0,1,0,0,0,0,1,100,0,0,0,-45,,0,0,0,0,0,0,-45,,
112,Steve Smith Sr.,CAR,25,,1,1,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
113,Brian St. Pierre,PIT,25,,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,1,1
114,Jeff Wilkins,STL,32,,16,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
115,Roy Williams,DET,23,WR,14,12,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
